Symbol,Shells,Electronegativity
H,1,2.2
He,2,-1
Li,1,0.98
Be,2,1.57
B,3,2.04
C,4,2.55
N,5,3.04
O,6,3.44
F,7,3.98
Ne,8,-1
Na,1,0.93
Mg,2,1.31
Al,3,1.61
Si,4,1.9
P,5,2.19
S,6,2.58
Cl,7,3.16
Ar,8,-1
K,1,0.82
Ca,2,1
Sc,2,1.36
Ti,2,1.54
V,2,1.63
Cr,1,1.66
Mn,2,1.55
Fe,2,1.83
Co,2,1.88
Ni,2,1.91
Cu,1,1.9
Zn,2,1.65
Ga,3,1.81
Ge,4,2.01
As,5,2.18
Se,6,2.55
Br,7,2.96
Kr,8,3
Rb,1,0.82
Sr,2,0.95
Y,2,1.22
Zr,2,1.33
Nb,1,1.6
Mo,1,2.16
Tc,2,1.9
Ru,1,2.2
Rh,1,2.28
Pd,18,2.2
Ag,1,1.93
Cd,2,1.69
In,3,1.78
Sn,4,1.96
Sb,5,2.05
Te,6,2.1
I,7,2.66
Xe,8,2.6
Cs,1,0.79
Ba,2,0.89
La,2,1.1
Ce,2,1.12
Pr,2,1.13
Nd,2,1.14
Pm,2,1.13
Sm,2,1.17
Eu,2,1.2
Gd,2,1.2
Tb,2,1.1
Dy,2,1.22
Ho,2,1.23
Er,2,1.24
Tm,2,1.25
Yb,2,1.1
Lu,2,1.27
Hf,2,1.3
Ta,2,1.5
W,2,2.36
Re,2,1.9
Os,2,2.2
Ir,2,2.2
Pt,1,2.28
Au,1,2.54
Hg,2,2
Tl,3,1.62
Pb,4,1.87
Bi,5,2.02
Po,6,2
At,7,2.2
Rn,8,2.2
Fr,1,0.79
Ra,2,0.9
Ac,2,1.1
Th,2,1.3
Pa,2,1.5
U,2,1.38
Np,2,1.36
Pu,2,1.28
Am,2,1.13
Cm,2,1.28
Bk,2,1.3
Cf,2,1.3
Es,2,1.3
Fm,2,1.3
Md,2,1.3
No,2,1.3
Lr,3,1.3
Rg,2,-1
Nh,3,-1
Mc,5,-1
Lv,6,-1
Ts,7,-1
Og,8,-1
Uue,1,-1
