Symbol,Shells,Electronegativity,isMetal,color
H,1,2.2,0,0xFFFFFF
He,2,0,0,0xFFFF00
Li,1,0.98,1,0xFFFFFF
Be,2,1.57,1,0xFFFFFF
B,3,2.04,1,0xFFFFFF
C,4,2.55,0,0x3F3F3F
N,5,3.04,0,0x0000FF
O,6,3.44,0,0xFF0000
F,7,3.98,0,0xE7E7E7
Ne,8,0,0,0xE7E700
Na,1,0.93,1,0xFFFFFF
Mg,2,1.31,1,0xFFFFFF
Al,3,1.61,1,0xFFFFFF
Si,4,1.9,1,0xFFFFFF
P,5,2.19,0,0x0000CF
S,6,2.58,0,0xCF0000
Cl,7,3.16,0,0xCFCFCF
Ar,8,0,0,0xCFCF00
K,1,0.82,1,0xFFFFFF
Ca,2,1,1,0xFFFFFF
Sc,2,1.36,1,0xFFFFFF
Ti,2,1.54,1,0xFFFFFF
V,2,1.63,1,0xFFFFFF
Cr,1,1.66,1,0xFFFFFF
Mn,2,1.55,1,0xFFFFFF
Fe,2,1.83,1,0xFFFFFF
Co,2,1.88,1,0xFFFFFF
Ni,2,1.91,1,0xFFFFFF
Cu,1,1.9,1,0xFFFFFF
Zn,2,1.65,1,0xFFFFFF
Ga,3,1.81,1,0xFFFFFF
Ge,4,2.01,1,0xFFFFFF
As,5,2.18,1,0x0000B7
Se,6,2.55,0,0xB70000
Br,7,2.96,0,0xB7B7B7
Kr,8,3,0,0xB7B700
Rb,1,0.82,1,0xFFFFFF
Sr,2,0.95,1,0xFFFFFF
Y,2,1.22,1,0xFFFFFF
Zr,2,1.33,1,0xFFFFFF
Nb,1,1.6,1,0xFFFFFF
Mo,1,2.16,1,0xFFFFFF
Tc,2,1.9,1,0xFFFFFF
Ru,1,2.2,1,0xFFFFFF
Rh,1,2.28,1,0xFFFFFF
Pd,18,2.2,1,0xFFFFFF
Ag,1,1.93,1,0xFFFFFF
Cd,2,1.69,1,0xFFFFFF
In,3,1.78,1,0xFFFFFF
Sn,4,1.96,1,0xFFFFFF
Sb,5,2.05,1,0xFFFFFF
Te,6,2.1,1,0xFFFFFF
I,7,2.66,0,0x9F9F9F
Xe,8,2.6,0,0x9F9F00
Cs,1,0.79,1,0xFFFFFF
Ba,2,0.89,1,0xFFFFFF
La,2,1.1,1,0xFFFFFF
Ce,2,1.12,1,0xFFFFFF
Pr,2,1.13,1,0xFFFFFF
Nd,2,1.14,1,0xFFFFFF
Pm,2,1.13,1,0xFFFFFF
Sm,2,1.17,1,0xFFFFFF
Eu,2,1.2,1,0xFFFFFF
Gd,2,1.2,1,0xFFFFFF
Tb,2,1.1,1,0xFFFFFF
Dy,2,1.22,1,0xFFFFFF
Ho,2,1.23,1,0xFFFFFF
Er,2,1.24,1,0xFFFFFF
Tm,2,1.25,1,0xFFFFFF
Yb,2,1.1,1,0xFFFFFF
Lu,2,1.27,1,0xFFFFFF
Hf,2,1.3,1,0xFFFFFF
Ta,2,1.5,1,0xFFFFFF
W,2,2.36,1,0xFFFFFF
Re,2,1.9,1,0xFFFFFF
Os,2,2.2,1,0xFFFFFF
Ir,2,2.2,1,0xFFFFFF
Pt,1,2.28,1,0xFFFFFF
Au,1,2.54,1,0xFFFFFF
Hg,2,2,1,0xFFFFFF
Tl,3,1.62,1,0xFFFFFF
Pb,4,1.87,1,0xFFFFFF
Bi,5,2.02,1,0xFFFFFF
Po,6,2,1,0xFFFFFF
At,7,2.2,1,0xFFFFFF
Rn,8,2.2,0,0x878700
Fr,1,0.79,1,0xFFFFFF
Ra,2,0.9,1,0xFFFFFF
Ac,2,1.1,1,0xFFFFFF
Th,2,1.3,1,0xFFFFFF
Pa,2,1.5,1,0xFFFFFF
U,2,1.38,1,0xFFFFFF
Np,2,1.36,1,0xFFFFFF
Pu,2,1.28,1,0xFFFFFF
Am,2,1.13,1,0xFFFFFF
Cm,2,1.28,1,0xFFFFFF
Bk,2,1.3,1,0xFFFFFF
Cf,2,1.3,1,0xFFFFFF
Es,2,1.3,1,0xFFFFFF
Fm,2,1.3,1,0xFFFFFF
Md,2,1.3,1,0xFFFFFF
No,2,1.3,1,0xFFFFFF
Lr,3,1.3,1,0xFFFFFF
Rf,2,-1,1,0xFFFFFF
Db,2,-1,1,0xFFFFFF
Sg,2,-1,1,0xFFFFFF
Bh,2,-1,1,0xFFFFFF
Hs,2,-1,1,0xFFFFFF
Mt,2,-1,1,0xFFFFFF
Ds,1,-1,1,0xFFFFFF
Rg,2,-1,1,0xFFFFFF
Cn,2,-1,1,0xFFFFFF
Nh,3,-1,1,0xFFFFFF
Fl,4,-1,1,0xFFFFFF
Mc,5,-1,1,0xFFFFFF
Lv,6,-1,1,0xFFFFFF
Ts,7,-1,1,0xFFFFFF
Og,8,-1,0,0x6F6F00
