Symbol,"#Shells",Electronegativity
H,[1],2.2
He,[2],NaN
Li,"[2,1]",0.98
Be,"[2,2]",1.57
B,"[2,3]",2.04
C,"[2,4]",2.55
N,"[2,5]",3.04
O,"[2,6]",3.44
F,"[2,7]",3.98
Ne,"[2,8]",NaN
Na,"[2,8,1]",0.93
Mg,"[2,8,2]",1.31
Al,"[2,8,3]",1.61
Si,"[2,8,4]",1.9
P,"[2,8,5]",2.19
S,"[2,8,6]",2.58
Cl,"[2,8,7]",3.16
Ar,"[2,8,8]",NaN
K,"[2,8,8,1]",0.82
Ca,"[2,8,8,2]",1.0
Sc,"[2,8,9,2]",1.36
Ti,"[2,8,10,2]",1.54
V,"[2,8,11,2]",1.63
Cr,"[2,8,13,1]",1.66
Mn,"[2,8,13,2]",1.55
Fe,"[2,8,14,2]",1.83
Co,"[2,8,15,2]",1.88
Ni,"[2,8,16,2]",1.91
Cu,"[2,8,18,1]",1.9
Zn,"[2,8,18,2]",1.65
Ga,"[2,8,18,3]",1.81
Ge,"[2,8,18,4]",2.01
As,"[2,8,18,5]",2.18
Se,"[2,8,18,6]",2.55
Br,"[2,8,18,7]",2.96
Kr,"[2,8,18,8]",3.0
Rb,"[2,8,18,8,1]",0.82
Sr,"[2,8,18,8,2]",0.95
Y,"[2,8,18,9,2]",1.22
Zr,"[2,8,18,10,2]",1.33
Nb,"[2,8,18,12,1]",1.6
Mo,"[2,8,18,13,1]",2.16
Tc,"[2,8,18,13,2]",1.9
Ru,"[2,8,18,15,1]",2.2
Rh,"[2,8,18,16,1]",2.28
Pd,"[2,8,18,18]",2.2
Ag,"[2,8,18,18,1]",1.93
Cd,"[2,8,18,18,2]",1.69
In,"[2,8,18,18,3]",1.78
Sn,"[2,8,18,18,4]",1.96
Sb,"[2,8,18,18,5]",2.05
Te,"[2,8,18,18,6]",2.1
I,"[2,8,18,18,7]",2.66
Xe,"[2,8,18,18,8]",2.6
Cs,"[2,8,18,18,8,1]",0.79
Ba,"[2,8,18,18,8,2]",0.89
La,"[2,8,18,18,9,2]",1.1
Ce,"[2,8,18,19,9,2]",1.12
Pr,"[2,8,18,21,8,2]",1.13
Nd,"[2,8,18,22,8,2]",1.14
Pm,"[2,8,18,23,8,2]",1.13
Sm,"[2,8,18,24,8,2]",1.17
Eu,"[2,8,18,25,8,2]",1.2
Gd,"[2,8,18,25,9,2]",1.2
Tb,"[2,8,18,27,8,2]",1.1
Dy,"[2,8,18,28,8,2]",1.22
Ho,"[2,8,18,29,8,2]",1.23
Er,"[2,8,18,30,8,2]",1.24
Tm,"[2,8,18,31,8,2]",1.25
Yb,"[2,8,18,32,8,2]",1.1
Lu,"[2,8,18,32,9,2]",1.27
Hf,"[2,8,18,32,10,2]",1.3
Ta,"[2,8,18,32,11,2]",1.5
W,"[2,8,18,32,12,2]",2.36
Re,"[2,8,18,32,13,2]",1.9
Os,"[2,8,18,32,14,2]",2.2
Ir,"[2,8,18,32,15,2]",2.2
Pt,"[2,8,18,32,17,1]",2.28
Au,"[2,8,18,32,18,1]",2.54
Hg,"[2,8,18,32,18,2]",2.0
Tl,"[2,8,18,32,18,3]",1.62
Pb,"[2,8,18,32,18,4]",1.87
Bi,"[2,8,18,32,18,5]",2.02
Po,"[2,8,18,32,18,6]",2.0
At,"[2,8,18,32,18,7]",2.2
Rn,"[2,8,18,32,18,8]",2.2
Fr,"[2,8,18,32,18,8,1]",0.79
Ra,"[2,8,18,32,18,8,2]",0.9
Ac,"[2,8,18,32,18,9,2]",1.1
Th,"[2,8,18,32,18,10,2]",1.3
Pa,"[2,8,18,32,20,9,2]",1.5
U,"[2,8,18,32,21,9,2]",1.38
Np,"[2,8,18,32,22,9,2]",1.36
Pu,"[2,8,18,32,24,8,2]",1.28
Am,"[2,8,18,32,25,8,2]",1.13
Cm,"[2,8,18,32,25,9,2]",1.28
Bk,"[2,8,18,32,27,8,2]",1.3
Cf,"[2,8,18,32,28,8,2]",1.3
Es,"[2,8,18,32,29,8,2]",1.3
Fm,"[2,8,18,32,30,8,2]",1.3
Md,"[2,8,18,32,31,8,2]",1.3
No,"[2,8,18,32,32,8,2]",1.3
Lr,"[2,8,18,32,32,8,3]",1.3
Rg,"[2,8,18,32,32,17,2]",NaN
Nh,"[2,8,18,32,32,18,3]",NaN
Mc,"[2,8,18,32,32,18,5]",NaN
Lv,"[2,8,18,32,32,18,6]",NaN
Ts,"[2,8,18,32,32,18,7]",NaN
Og,"[2,8,18,32,32,18,8]",NaN
Uue,"[2,8,18,32,32,18,8,1]",NaN
